CAR_CHC_ID,POSITION_TITLE_E,SELECTION_PROCESS_NUMBER,POSITIONS_AVAILABLE,DEPT_CD,CLASSIFICATIONS,VARIOUS_WORK_LOCATION,TOTAL_SUBMITTED,POSTER_URL,cd,tot_in
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,1307,4
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,2423,4
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,2466,6
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,3506,11
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,3510,3
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,3520,1
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,4611,1
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,4706,0
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,4711,2
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,4806,6
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,4811,7
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,5917,12
1003626,Project Manager - Level 2,17-SVC-ONT-EA-282078,1,SVC,ENENG03,0,81,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003626,3506,25
1004071,Various EX-01 Positions within the Deputy Minister's Office,2017-SVC-IA-HQ-281718,1,SVC,EX01,0,117,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004071,2481,25
1004123,Application Development Technical Advisor,17-DVA-IA-CH-CF-ANT-4191,0,DVA,CS03,0,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004123,1102,6
1004233,Application Development Technical Advisor,17-DVA-EA-CH-CF-ANT-4192,0,DVA,CS03,0,21,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004233,1102,9
1004664,"Assistant Deputy Minister, Operations Sector",2017-IMC-IA-25026,1,IMC,EX05,0,9,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004664,3506,8
1005081,Chemist,17-DOE-NCR-IA-281586,1,DOE,CH02,0,15,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005081,3506,9
1005780,"Manager, Learning Services / Manager, Business Transformation",2017-CSD-IA-NHQ-10502,1,CSD,AS07,1,68,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005780,1209,2
1005780,"Manager, Learning Services / Manager, Business Transformation",2017-CSD-IA-NHQ-10502,1,CSD,AS07,1,68,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005780,2466,7
1005780,"Manager, Learning Services / Manager, Business Transformation",2017-CSD-IA-NHQ-10502,1,CSD,AS07,1,68,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005780,2481,18
1005780,"Manager, Learning Services / Manager, Business Transformation",2017-CSD-IA-NHQ-10502,1,CSD,AS07,1,68,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005780,3520,3
1005819,Call centre supervisor,16-RCM-IA-N-N-NBAY-FP-65240,2,RCM,AS02,0,5,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005819,3548,4
1005997,"Director General, Policy/Programs, Director General, Safety and Security, Regional Director General",17-MOT-EA-APM-86745,5,MOT,EX03,1,162,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005997,1307,8
1005997,"Director General, Policy/Programs, Director General, Safety and Security, Regional Director General",17-MOT-EA-APM-86745,5,MOT,EX03,1,162,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005997,2466,11
1005997,"Director General, Policy/Programs, Director General, Safety and Security, Regional Director General",17-MOT-EA-APM-86745,5,MOT,EX03,1,162,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005997,3506,47
1005997,"Director General, Policy/Programs, Director General, Safety and Security, Regional Director General",17-MOT-EA-APM-86745,5,MOT,EX03,1,162,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005997,3520,3
1005997,"Director General, Policy/Programs, Director General, Safety and Security, Regional Director General",17-MOT-EA-APM-86745,5,MOT,EX03,1,162,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005997,4611,9
1006179,Telecommunications Operator,17-RCM-IA-WPG-V-65046,0,RCM,POTCO02,0,1,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006179,6204,0
1006247,Continual Auditing Officer,17-RCM-IA-N-N-NCR-IAER-65063,1,RCM,AS05,0,23,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006247,3506,20
1006362,Senior Quality Control Officer,2017-CSD-IA-NHQ-10536,2,CSD,AS03,0,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1006362,2481,4
1007341,Team Leader,17-PSC-IA-4236,1,PSC,PE04,0,24,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007341,2466,13
1007374,Major Case Management Information Systems Applications Specialist,17-RCM-IA-P-E-SUR-ISOC-MCM-64455,7,RCM,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007374,5915,26
1007374,Major Case Management Information Systems Applications Specialist,17-RCM-IA-P-E-SUR-ISOC-MCM-64455,7,RCM,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007374,5917,1
1007374,Major Case Management Information Systems Applications Specialist,17-RCM-IA-P-E-SUR-ISOC-MCM-64455,7,RCM,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007374,5921,2
1007374,Major Case Management Information Systems Applications Specialist,17-RCM-IA-P-E-SUR-ISOC-MCM-64455,7,RCM,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007374,5935,2
1007374,Major Case Management Information Systems Applications Specialist,17-RCM-IA-P-E-SUR-ISOC-MCM-64455,7,RCM,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1007374,5953,1
1008034,Assistant Director (5 Streams),2017-IMC-IA-25172,4,IMC,EC07,1,82,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008034,2481,9
1008034,Assistant Director (5 Streams),2017-IMC-IA-25172,4,IMC,EC07,1,82,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008034,3506,66
1008288,Senior Program Analyst - Anticipatory,17-NHW-CFOB-IA-NCR-190487,1,SHC,EC06,0,19,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008288,3506,16
1008466,Administrative Officer/Finance and Procurement Supervisor,17-AGR-MBSK-IA-CM-7,1,AGR,AS04,0,3,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008466,4711,2
1008769,"Coordinator/Officer, Environmental Programs",17-DOE-EA-EPB/DGPE-PNR-AO-282434,1,DOE,PC03,0,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008769,6106,11
1008810,"Senior Assistant Deputy Minister, Cultural Affairs",17-PCH-IA-CA-1410,1,PCH,EX05,0,3,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1008810,2481,1
1009098,Paralegal,2017-PPD-EA-AB-109155,2,PPD,EC02,1,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009098,4806,23
1009098,Paralegal,2017-PPD-EA-AB-109155,2,PPD,EC02,1,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009098,4811,15
1009098,Paralegal,2017-PPD-EA-AB-109155,2,PPD,EC03,1,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009098,4806,22
1009098,Paralegal,2017-PPD-EA-AB-109155,2,PPD,EC03,1,67,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009098,4811,12
1009230,Evaluation Manager,17-RCM-IA-N-N-NCR-IAER-65246,2,RCM,EC07,0,43,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009230,3506,37
1009419,Crop Physiology Technician **Amendment to closing date**,17-AGR-NCR-EA-ST-31,1,AGR,EG04,1,48,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009419,3501,2
1009419,Crop Physiology Technician **Amendment to closing date**,17-AGR-NCR-EA-ST-31,1,AGR,EG04,1,48,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009419,3506,16
1009468,Health and Safety Advisor,17-DFO-CEN-IA-HRCS-190311,1,DFO,AS04,0,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009468,4611,5
1009585,Administrative Assistant,2017-IMC-IA-25104,1,IMC,AS01,0,35,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1009585,2466,18
1010110,Administrative Executive Officer (ANTICIPATORY),17-PCO-IA-15535,0,PCO,AS02,0,54,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010110,3506,32
1010459,"Senior Technologist, Monitoring/ Data, Ice Services",17-DOE-RCN-EA-283468,1,DOE,EG05,0,33,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010459,3506,13
1010664,Property and Facility Officer,2017-SVC-PAC-EA-283304,1,SVC,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010664,5909,1
1010664,Property and Facility Officer,2017-SVC-PAC-EA-283304,1,SVC,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010664,5915,28
1010664,Property and Facility Officer,2017-SVC-PAC-EA-283304,1,SVC,AS03,1,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010664,5915,28
1010675,Policy Analyst,17-IAN-NCR-IA-283308,1,IAN,EC05,0,76,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1010675,2481,13
1011154,Rigger (ANTICIPATORY),17-DFO-WCCG-EA-CCG-193163,1,DFO,GLPRW10,0,35,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011154,5917,5
1011247,Strategic Policy and Planning Officer,2017-SVC-IA-HQ-283605,1,SVC,EC05,0,44,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011247,2481,13
1011424,Early Resolution Officer (PM-02),2017-CSD-IA-BC-10868,0,CSD,PM02,1,124,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011424,4806,30
1011424,Early Resolution Officer (PM-02),2017-CSD-IA-BC-10868,0,CSD,PM02,1,124,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011424,4811,24
1011428,"Coordinator, Pool management",17-EXT-IA-JP-1014943,1,EXT,AS04,0,25,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011428,2481,10
1011560,Nurse-In-Charge (NIC),17-NHW-FNIH-EA-AB-191598,3,SHC,NUCHN04,1,9,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011560,4809,0
1011560,Nurse-In-Charge (NIC),17-NHW-FNIH-EA-AB-191598,3,SHC,NUCHN04,1,9,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011560,4811,3
1012353,Food Distribution Helper,2017-PEN-EA-PRA-122678,0,PEN,GSFOS02,1,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012353,4704,0
1012353,Food Distribution Helper,2017-PEN-EA-PRA-122678,0,PEN,GSFOS02,1,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012353,4715,6
1012353,Food Distribution Helper,2017-PEN-EA-PRA-122678,0,PEN,GSFOS02,1,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012353,4808,0
1012465,Project Analyst,2017-PEN-IA-NHQ-122690,7,PEN,AS04,0,173,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012465,3506,110
1012737,Client Authorithy,2017-SVC-IA-HQ-283889,2,SVC,AS02,1,63,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012737,2466,19
1012737,Client Authorithy,2017-SVC-IA-HQ-283889,2,SVC,AS02,1,63,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012737,2481,17
1012898,Special Projects & Training Coordinator,17-DFO-MAR-IA-EFM-191637,1,DFO,PM04,0,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012898,1307,20
1012939,"Manager, Personnel and Physical Security",17-SUC-IA-1943,1,SUC,AS04,0,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1012939,3506,2
1013091,Quality Assurance Analyst,17-RCM-IA-N-N-NCR-CAP-65228,2,RCM,EC04,0,53,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013091,3506,46
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,1209,32
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,1310,5
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2423,33
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2466,103
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2481,119
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,3520,89
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,4611,61
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE01,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,4811,63
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,1209,35
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,1310,5
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2423,33
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2466,101
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,2481,116
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,3520,89
1013126,Your skills are wanted! Are you up for an HR challenge?,2017-CSD-IA-NHQ-12600,30,CSD,PE02,1,1017,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1013126,4611,64
